Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:02.3666832,Alto,OriginalSmallSedan(Clone)10,1.0721,685.05,9.86,698.18,11.93,683.48,9.30,698.71,0.04
00:00:02.4316009,Colision,OriginalSmallSedan(Clone)10,0.9658,684.91,9.82,697.95,12.05,683.48,9.30,698.71,0.03
00:00:02.4672395,Colision,OriginalSmallSedan(Clone)10,0.9304,684.82,9.79,697.80,12.12,683.48,9.31,698.71,0.03
00:00:02.5268791,Colision,OriginalSmallSedan(Clone)10,0.9412,684.68,9.76,697.58,12.22,683.48,9.31,698.71,0.03
00:00:02.5987672,Alto,OriginalSmallSedan(Clone)10,1.0276,684.54,9.72,697.34,12.33,683.48,9.31,698.71,0.02
00:00:02.6328496,Alto,OriginalSmallSedan(Clone)10,1.1198,684.44,9.70,697.19,12.41,683.48,9.31,698.71,0.01
00:00:02.6652893,Alto,OriginalSmallSedan(Clone)10,1.2336,684.35,9.67,697.03,12.49,683.48,9.31,698.71,0.01
00:00:02.7001101,Alto,OriginalSmallSedan(Clone)10,1.3639,684.25,9.71,696.87,12.57,683.48,9.31,698.71,0.00
00:00:02.8065821,Alto,OriginalSmallSedan(Clone)10,1.8956,683.91,9.46,696.32,12.78,683.48,9.31,698.71,0.01
00:00:02.8348895,Alto,OriginalSmallSedan(Clone)10,2.1135,683.77,9.43,696.10,12.83,683.48,9.31,698.71,0.02
00:00:02.8673987,Bajo,OriginalSmallSedan(Clone)10,2.5572,683.51,9.37,695.67,12.92,683.48,9.31,698.71,0.02
00:00:02.9324887,Bajo,OriginalSmallSedan(Clone)10,3.2407,683.10,9.29,695.01,13.05,683.48,9.31,698.71,0.02
00:00:02.9952396,Bajo,OriginalSmallSedan(Clone)10,3.9441,682.69,9.20,694.34,13.16,683.48,9.30,698.71,0.03
00:00:03.0334601,Bajo,OriginalSmallSedan(Clone)10,4.4228,682.41,9.14,693.89,13.22,683.48,9.30,698.71,0.03
