Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:20.1299811,Alto,SmallSedanPurple(Clone)5,1.0657,668.72,7.85,651.03,9.16,670.19,7.52,650.07,3.16
00:00:20.1969654,Colision,SmallSedanPurple(Clone)5,0.9453,668.74,7.85,651.09,9.26,670.02,7.52,650.01,3.16
00:00:20.3295048,Colision,SmallSedanPurple(Clone)5,0.9228,668.90,7.84,651.24,9.50,669.61,7.52,649.85,3.16
00:00:20.3970037,Alto,SmallSedanPurple(Clone)5,1.0015,668.92,7.84,651.26,9.60,669.43,7.52,649.78,3.16
00:00:20.4968944,Alto,SmallSedanPurple(Clone)5,1.2259,669.04,7.85,651.32,9.77,669.14,7.52,649.66,3.15
00:00:20.5276606,Alto,SmallSedanPurple(Clone)5,1.5542,669.37,7.85,651.56,9.84,669.02,7.52,649.62,3.15
00:00:20.5618086,Alto,SmallSedanPurple(Clone)5,1.9013,669.69,7.85,651.81,9.91,668.90,7.52,649.57,3.15
00:00:20.6618683,Bajo,SmallSedanPurple(Clone)5,2.7025,670.34,7.85,652.31,10.04,668.66,7.52,649.48,3.15
00:00:20.7619147,Bajo,SmallSedanPurple(Clone)5,3.9305,671.02,8.03,653.12,10.21,668.37,7.52,649.37,3.15
00:00:51.0750370,Bajo,SmallSedanYellow1(Clone)18,4.9253,631.10,7.61,533.65,5.27,626.47,7.02,530.23,12.55
00:00:51.1977617,Bajo,SmallSedanYellow1(Clone)18,4.2145,631.88,7.67,533.57,5.36,627.96,7.03,530.39,12.47
00:00:51.2763632,Bajo,SmallSedanYellow1(Clone)18,3.7052,632.39,7.61,533.52,5.34,628.92,7.09,530.56,12.42
