Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:21.1506917,Bajo,SmallSedanPurple(Clone)5,3.4043,682.36,7.85,630.12,0.00,679.43,7.50,633.10,10.14
00:00:21.2218550,Bajo,SmallSedanPurple(Clone)5,2.8211,682.14,7.85,629.98,0.00,679.47,7.49,632.29,10.20
00:00:21.5834157,Alto,SmallSedanPurple(Clone)5,2.1742,682.56,7.84,629.07,0.00,679.87,7.44,628.63,10.24
00:00:21.6538105,Alto,SmallSedanPurple(Clone)5,2.2356,682.76,7.83,628.76,0.00,680.02,7.43,628.03,10.24
00:00:21.7226126,Alto,SmallSedanPurple(Clone)5,2.3105,682.93,7.83,628.50,0.00,680.25,7.42,627.25,10.25
00:00:21.7836032,Alto,SmallSedanPurple(Clone)5,2.4143,683.07,7.82,628.29,0.00,680.44,7.41,626.66,10.26
00:00:21.8196482,Alto,SmallSedanPurple(Clone)5,2.4981,683.15,7.82,628.16,0.00,680.58,7.40,626.28,10.28
00:00:21.8529849,Bajo,SmallSedanPurple(Clone)5,2.5865,683.22,7.82,628.06,0.00,680.65,7.40,626.08,10.28
00:00:21.8865914,Bajo,SmallSedanPurple(Clone)5,2.6825,683.29,7.82,627.95,0.00,680.79,7.39,625.70,10.30
00:00:21.9201368,Bajo,SmallSedanPurple(Clone)5,2.7929,683.36,7.82,627.85,0.00,680.95,7.39,625.32,10.32
00:00:21.9531061,Bajo,SmallSedanPurple(Clone)5,2.9175,683.42,7.81,627.75,0.00,681.03,7.38,625.13,10.33
00:00:22.0170637,Bajo,SmallSedanPurple(Clone)5,3.1678,683.54,7.81,627.58,0.00,681.27,7.37,624.56,10.36
00:00:22.0549602,Bajo,SmallSedanPurple(Clone)5,3.3478,683.61,7.81,627.47,0.00,681.44,7.37,624.18,10.39
00:00:22.0867017,Bajo,SmallSedanPurple(Clone)5,3.5048,683.67,7.81,627.38,0.00,681.61,7.36,623.80,10.41
00:00:22.1206086,Bajo,SmallSedanPurple(Clone)5,3.6781,683.73,7.81,627.29,0.00,681.78,7.35,623.42,10.44
00:00:22.1894083,Bajo,SmallSedanPurple(Clone)5,4.0457,683.84,7.80,627.11,0.00,682.05,7.34,622.85,10.47
00:00:22.2863611,Bajo,SmallSedanPurple(Clone)5,4.5985,684.00,7.80,626.87,0.00,682.51,7.33,621.91,10.53
00:00:23.6189005,Alto,SmallSedanBlue2(Clone)11,1.2707,692.74,7.32,608.99,9.64,691.55,6.94,610.76,11.35
00:00:23.6924456,Colision,SmallSedanBlue2(Clone)11,0.5822,692.87,7.31,609.47,3.29,692.08,6.93,610.47,7.61
00:00:23.7589816,Colision,SmallSedanBlue2(Clone)11,0.5699,693.21,7.31,609.71,2.75,692.46,6.93,610.70,7.22
00:00:23.8174011,Colision,SmallSedanBlue2(Clone)11,0.5397,693.49,7.32,609.91,2.31,692.82,6.93,610.90,6.78
00:00:23.8945886,Colision,SmallSedanBlue2(Clone)11,0.4900,693.85,7.33,610.15,2.17,693.29,6.93,611.11,6.28
00:00:23.9949061,Colision,SmallSedanBlue2(Clone)11,0.4936,693.81,7.36,610.34,1.74,693.85,6.94,611.30,5.77
00:00:24.4953348,Alto,SmallSedanBlue2(Clone)11,2.1064,694.01,7.47,609.17,1.67,696.16,6.92,610.96,4.47
00:00:24.5861217,Alto,SmallSedanBlue2(Clone)11,2.2586,694.03,7.47,609.10,1.88,696.51,6.91,610.68,4.50
00:00:24.6944495,Alto,SmallSedanBlue2(Clone)11,2.4644,694.04,7.47,609.04,2.09,696.83,6.90,610.37,4.57
00:00:24.7591692,Bajo,SmallSedanBlue2(Clone)11,2.6118,694.04,7.47,609.03,2.22,697.03,6.89,610.18,4.62
00:00:24.8524774,Bajo,SmallSedanBlue2(Clone)11,2.8542,694.03,7.48,609.05,2.43,697.34,6.88,609.84,4.69
00:00:24.9267621,Bajo,SmallSedanBlue2(Clone)11,3.0955,694.02,7.48,609.09,2.60,697.60,6.88,609.56,4.76
00:00:24.9925619,Bajo,SmallSedanBlue2(Clone)11,3.3321,694.01,7.48,609.12,2.73,697.79,6.87,609.35,4.80
00:00:25.0511308,Bajo,SmallSedanBlue2(Clone)11,3.5611,693.99,7.48,609.18,2.85,697.98,6.87,609.13,4.84
00:00:25.1260319,Bajo,SmallSedanBlue2(Clone)11,3.8931,693.97,7.49,609.26,3.02,698.23,6.86,608.84,4.90
00:00:25.1893606,Bajo,SmallSedanBlue2(Clone)11,4.1902,693.96,7.49,609.33,3.15,698.43,6.86,608.61,4.94
00:00:25.2232134,Bajo,SmallSedanBlue2(Clone)11,4.3698,693.94,7.49,609.38,3.23,698.56,6.85,608.46,4.97
00:00:25.3168349,Bajo,SmallSedanBlue2(Clone)11,4.8385,693.92,7.50,609.49,3.40,698.82,6.85,608.17,5.03
00:00:43.4290951,Bajo,SmallSedanGreen1(Clone)12,3.1289,811.42,12.65,578.96,12.12,809.44,12.05,582.20,5.81
00:00:43.4622708,Bajo,SmallSedanGreen1(Clone)12,3.1225,811.15,12.65,578.96,12.20,809.57,12.05,582.38,5.79
00:00:43.5305167,Bajo,SmallSedanGreen1(Clone)12,3.2881,810.73,12.65,578.96,12.31,809.77,12.06,582.67,5.80
00:00:43.6182308,Bajo,SmallSedanGreen1(Clone)12,3.7202,810.10,12.63,578.95,12.45,810.00,12.06,583.06,5.76
00:00:43.6972664,Bajo,SmallSedanGreen1(Clone)12,4.3267,809.39,12.46,578.94,12.59,810.19,12.06,583.47,5.74
