Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:02.3300842,Alto,OriginalSmallSedan(Clone)10,1.0914,685.07,9.87,698.21,12.30,683.49,9.30,698.70,0.04
00:00:02.3634730,Alto,OriginalSmallSedan(Clone)10,1.0041,684.98,9.84,698.06,12.40,683.49,9.30,698.70,0.04
00:00:02.3921780,Colision,OriginalSmallSedan(Clone)10,0.9432,684.89,9.81,697.91,12.49,683.49,9.30,698.70,0.03
00:00:02.4129688,Colision,OriginalSmallSedan(Clone)10,0.9249,684.84,9.80,697.83,12.53,683.49,9.30,698.70,0.03
00:00:02.4274847,Colision,OriginalSmallSedan(Clone)10,0.9253,684.84,9.80,697.83,12.53,683.49,9.30,698.70,0.03
00:00:02.4466558,Colision,OriginalSmallSedan(Clone)10,0.9157,684.79,9.78,697.75,12.57,683.49,9.30,698.70,0.02
00:00:02.4621912,Colision,OriginalSmallSedan(Clone)10,0.9154,684.74,9.77,697.68,12.61,683.49,9.30,698.70,0.02
00:00:02.4794774,Colision,OriginalSmallSedan(Clone)10,0.9244,684.69,9.76,697.60,12.65,683.49,9.30,698.70,0.02
00:00:02.4950608,Colision,OriginalSmallSedan(Clone)10,0.9427,684.65,9.75,697.52,12.70,683.49,9.30,698.70,0.01
00:00:02.5128379,Colision,OriginalSmallSedan(Clone)10,0.9698,684.60,9.74,697.44,12.74,683.49,9.30,698.70,0.01
00:00:02.5281127,Colision,OriginalSmallSedan(Clone)10,0.9700,684.60,9.74,697.44,12.74,683.49,9.30,698.70,0.01
00:00:02.5460847,Alto,OriginalSmallSedan(Clone)10,1.0053,684.55,9.73,697.36,12.79,683.49,9.30,698.70,0.01
00:00:02.5626024,Alto,OriginalSmallSedan(Clone)10,1.0481,684.50,9.71,697.28,12.83,683.49,9.30,698.70,0.01
00:00:02.5809185,Alto,OriginalSmallSedan(Clone)10,1.0977,684.45,9.70,697.20,12.88,683.49,9.30,698.70,0.01
00:00:02.6071794,Alto,OriginalSmallSedan(Clone)10,1.1531,684.40,9.69,697.12,12.92,683.49,9.30,698.70,0.01
00:00:02.6301317,Alto,OriginalSmallSedan(Clone)10,1.2136,684.35,9.67,697.04,12.97,683.49,9.30,698.70,0.01
00:00:02.6463862,Alto,OriginalSmallSedan(Clone)10,1.2786,684.30,9.73,696.96,13.02,683.49,9.30,698.70,0.01
00:00:02.6626034,Alto,OriginalSmallSedan(Clone)10,1.3477,684.25,9.71,696.88,13.07,683.49,9.30,698.70,0.01
00:00:02.6782854,Alto,OriginalSmallSedan(Clone)10,1.4199,684.20,9.67,696.80,13.12,683.49,9.30,698.70,0.02
00:00:02.6949472,Alto,OriginalSmallSedan(Clone)10,1.4951,684.15,9.64,696.71,13.16,683.49,9.30,698.70,0.02
00:00:02.7118396,Alto,OriginalSmallSedan(Clone)10,1.5728,684.10,9.61,696.63,13.21,683.49,9.30,698.70,0.02
00:00:02.7277528,Alto,OriginalSmallSedan(Clone)10,1.5724,684.10,9.61,696.63,13.21,683.49,9.30,698.70,0.02
00:00:02.7455497,Alto,OriginalSmallSedan(Clone)10,1.6997,684.02,9.48,696.50,13.26,683.49,9.30,698.70,0.02
00:00:02.7619804,Alto,OriginalSmallSedan(Clone)10,1.9246,683.88,9.45,696.28,13.31,683.49,9.30,698.70,0.02
00:00:02.7984004,Alto,OriginalSmallSedan(Clone)10,2.3825,683.60,9.38,695.82,13.41,683.49,9.30,698.70,0.03
00:00:02.8416631,Bajo,OriginalSmallSedan(Clone)10,2.8508,683.32,9.32,695.37,13.50,683.49,9.30,698.70,0.03
00:00:02.8638974,Bajo,OriginalSmallSedan(Clone)10,3.0890,683.18,9.29,695.14,13.55,683.49,9.30,698.70,0.03
00:00:02.8785418,Bajo,OriginalSmallSedan(Clone)10,3.3300,683.04,9.27,694.91,13.60,683.49,9.30,698.70,0.03
00:00:02.8953718,Bajo,OriginalSmallSedan(Clone)10,3.5732,682.90,9.24,694.68,13.64,683.49,9.30,698.70,0.03
00:00:02.9132667,Bajo,OriginalSmallSedan(Clone)10,3.8187,682.75,9.21,694.45,13.68,683.49,9.30,698.70,0.03
00:00:02.9462905,Bajo,OriginalSmallSedan(Clone)10,4.0661,682.61,9.18,694.21,13.72,683.49,9.30,698.70,0.03
