Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:34.7405587,Bajo,SmallSedanRed(Clone)6,3.9772,688.34,7.63,620.12,13.89,683.90,7.29,620.21,9.51
00:00:34.8317749,Bajo,SmallSedanRed(Clone)6,3.3096,688.14,7.65,620.53,12.37,684.31,7.27,619.56,9.57
00:00:34.9046145,Bajo,SmallSedanRed(Clone)6,3.0797,687.94,7.67,620.87,11.16,684.73,7.24,618.91,9.63
00:00:35.0063716,Bajo,SmallSedanRed(Clone)6,3.2927,687.75,7.68,621.15,9.81,685.23,7.21,618.09,9.72
00:00:35.1329204,Bajo,SmallSedanRed(Clone)6,4.1066,687.60,7.68,621.40,8.44,685.83,7.17,617.08,9.82
00:00:41.1645881,Alto,SmallSedanBlue2(Clone)11,1.7069,713.51,7.21,577.65,3.25,712.18,6.71,579.65,0.44
00:00:41.2042207,Alto,SmallSedanBlue2(Clone)11,1.6574,713.44,7.14,577.65,3.34,712.19,6.71,579.63,0.43
00:00:41.2375344,Alto,SmallSedanBlue2(Clone)11,1.6146,713.37,7.14,577.64,3.44,712.19,6.71,579.61,0.42
00:00:41.2693371,Alto,SmallSedanBlue2(Clone)11,1.5876,713.34,7.14,577.64,3.49,712.20,6.71,579.60,0.42
00:00:41.3038652,Alto,SmallSedanBlue2(Clone)11,1.5490,713.26,7.14,577.64,3.58,712.20,6.71,579.59,0.42
00:00:41.3632919,Alto,SmallSedanBlue2(Clone)11,1.4950,713.15,7.14,577.64,3.73,712.20,6.71,579.57,0.42
00:00:41.4054942,Alto,SmallSedanBlue2(Clone)11,1.4608,713.07,7.21,577.63,3.82,712.20,6.71,579.55,0.42
00:00:41.4387252,Alto,SmallSedanBlue2(Clone)11,1.4355,712.99,7.28,577.63,3.92,712.21,6.71,579.54,0.41
00:00:41.4708772,Alto,SmallSedanBlue2(Clone)11,1.4179,712.95,7.28,577.63,3.97,712.21,6.71,579.53,0.40
