Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:36.8215807,Bajo,SmallSedanYellow2(Clone)19,2.9349,678.36,8.04,646.79,6.77,675.03,7.52,647.10,0.00
00:00:36.9691948,Bajo,SmallSedanYellow2(Clone)19,2.7570,678.28,7.86,647.37,6.90,675.03,7.52,647.10,0.00
00:00:37.1685102,Bajo,SmallSedanYellow2(Clone)19,2.7520,678.23,8.03,648.16,6.85,675.03,7.52,647.10,0.00
00:00:37.3526487,Bajo,SmallSedanYellow2(Clone)19,2.9744,678.17,8.04,648.98,6.84,675.03,7.52,647.10,0.00
00:00:37.7117468,Bajo,SmallSedanYellow2(Clone)19,3.9048,678.15,8.04,650.50,6.94,675.03,7.52,647.10,0.00
00:00:37.8814132,Bajo,SmallSedanYellow2(Clone)19,4.4619,678.13,8.04,650.78,6.91,675.03,7.52,647.10,0.00
00:00:40.5217251,Bajo,SmallSedanPurple(Clone)15,2.8995,678.35,7.87,646.88,6.40,675.03,7.52,647.10,0.00
00:00:40.8246428,Bajo,SmallSedanPurple(Clone)15,2.7258,678.25,8.03,647.83,6.35,675.03,7.52,647.10,0.00
00:00:41.0235801,Bajo,SmallSedanPurple(Clone)15,2.9204,678.19,7.85,648.83,6.41,675.03,7.52,647.10,0.00
00:00:41.2568633,Bajo,SmallSedanPurple(Clone)15,3.4434,678.16,7.94,649.84,6.34,675.03,7.52,647.10,0.00
00:00:41.4672961,Bajo,SmallSedanPurple(Clone)15,4.0571,678.15,8.04,649.71,6.38,675.03,7.52,647.10,0.00
00:00:41.5973658,Bajo,SmallSedanPurple(Clone)15,4.4054,678.12,7.85,650.64,6.28,675.03,7.52,647.10,0.00
00:02:44.6310718,Bajo,SmallSedanGrey(Clone)14,4.6570,670.46,7.84,633.93,2.77,675.32,7.52,636.07,2.35
00:02:44.7374737,Bajo,SmallSedanGrey(Clone)14,4.4259,670.69,8.04,633.73,2.78,675.33,7.52,635.79,2.34
00:02:44.9294150,Bajo,SmallSedanGrey(Clone)14,4.0400,671.07,7.94,633.41,2.79,675.35,7.52,635.37,2.34
00:02:45.0217614,Bajo,SmallSedanGrey(Clone)14,3.8530,671.26,7.94,633.23,2.74,675.36,7.52,635.13,2.34
00:02:45.1292923,Bajo,SmallSedanGrey(Clone)14,3.6662,671.44,7.94,633.04,2.74,675.37,7.52,634.90,2.34
00:02:45.2717058,Bajo,SmallSedanGrey(Clone)14,3.4262,671.69,7.94,632.78,2.76,675.38,7.52,634.57,2.34
00:02:45.3871498,Bajo,SmallSedanGrey(Clone)14,3.2127,671.91,7.94,632.56,2.77,675.39,7.52,634.29,2.34
00:02:45.4845945,Bajo,SmallSedanGrey(Clone)14,3.0371,672.09,7.94,632.37,2.77,675.40,7.52,634.06,2.34
00:02:45.5984823,Bajo,SmallSedanGrey(Clone)14,2.8330,672.30,7.94,632.15,2.78,675.41,7.52,633.78,2.33
00:02:45.6892376,Bajo,SmallSedanGrey(Clone)14,2.6722,672.47,7.94,631.97,2.79,675.41,7.52,633.55,2.33
00:02:45.7967438,Bajo,SmallSedanGrey(Clone)14,2.5112,672.63,7.94,631.77,2.73,675.42,7.52,633.31,2.33
00:02:45.8898533,Alto,SmallSedanGrey(Clone)14,2.3771,672.76,7.94,631.61,2.77,675.43,7.52,633.13,2.33
00:02:45.9890154,Alto,SmallSedanGrey(Clone)14,2.2282,672.92,7.94,631.41,2.77,675.44,7.52,632.89,2.33
00:02:46.1073598,Alto,SmallSedanGrey(Clone)14,2.0477,673.11,7.94,631.18,2.78,675.45,7.52,632.61,2.33
00:02:46.2050466,Alto,SmallSedanGrey(Clone)14,1.9085,673.26,7.94,630.99,2.78,675.46,7.52,632.38,2.33
00:02:46.3054202,Alto,SmallSedanGrey(Clone)14,1.7574,673.41,7.94,630.79,2.78,675.46,7.52,632.15,2.33
00:02:46.4147238,Alto,SmallSedanGrey(Clone)14,1.6011,673.58,8.03,630.57,2.75,675.47,7.52,631.87,2.32
00:02:46.5182966,Alto,SmallSedanGrey(Clone)14,1.4495,673.74,8.03,630.38,2.76,675.48,7.52,631.64,2.32
00:02:46.6205775,Alto,SmallSedanGrey(Clone)14,1.3066,673.88,8.03,630.19,2.76,675.49,7.52,631.41,2.32
00:02:46.7200513,Alto,SmallSedanGrey(Clone)14,1.1656,674.03,8.03,630.01,2.77,675.50,7.52,631.17,2.32
00:02:46.8218758,Alto,SmallSedanGrey(Clone)14,1.0239,674.17,8.03,629.82,2.78,675.51,7.52,630.94,2.32
00:02:46.9051171,Colision,SmallSedanGrey(Clone)14,0.9171,674.28,8.03,629.68,2.78,675.51,7.52,630.76,2.32
00:02:47.0120631,Colision,SmallSedanGrey(Clone)14,0.7719,674.42,7.86,629.51,2.79,675.52,7.52,630.53,2.32
00:02:47.1116601,Colision,SmallSedanGrey(Clone)14,0.6336,674.55,7.90,629.33,2.86,675.53,7.52,630.29,2.32
