Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:15.3682176,Bajo,SmallSedanGreen2(Clone)3,4.3013,624.00,7.79,649.32,2.80,628.49,7.41,651.75,9.17
00:00:15.4017360,Bajo,SmallSedanGreen2(Clone)3,4.1149,623.89,7.79,649.33,2.76,628.12,7.41,651.73,9.19
00:00:15.4352032,Bajo,SmallSedanGreen2(Clone)3,3.9257,623.77,7.79,649.35,2.71,627.76,7.40,651.71,9.22
00:00:15.4681998,Bajo,SmallSedanGreen2(Clone)3,3.6799,623.71,7.78,649.40,2.66,627.57,7.40,651.70,9.23
00:00:15.5020316,Bajo,SmallSedanGreen2(Clone)3,3.4894,623.60,7.78,649.42,2.62,627.20,7.40,651.68,9.26
00:00:15.5356840,Bajo,SmallSedanGreen2(Clone)3,3.2925,623.49,7.78,649.45,2.57,626.83,7.40,651.65,9.28
00:00:15.5673048,Bajo,SmallSedanGreen2(Clone)3,3.0520,623.42,7.78,649.51,2.57,626.65,7.39,651.64,9.29
00:00:15.6036054,Bajo,SmallSedanGreen2(Clone)3,2.8300,623.31,7.78,649.55,2.52,626.28,7.39,651.62,9.32
00:00:15.6352607,Bajo,SmallSedanGreen2(Clone)3,2.6411,623.20,7.78,649.60,2.47,625.90,7.39,651.59,9.34
00:00:15.6679308,Alto,SmallSedanGreen2(Clone)3,2.3841,623.14,7.78,649.67,2.43,625.72,7.38,651.58,9.36
00:00:15.7024316,Alto,SmallSedanGreen2(Clone)3,2.2959,623.04,7.78,649.66,2.38,625.34,7.38,651.56,9.38
00:00:15.7711108,Alto,SmallSedanGreen2(Clone)3,2.1069,622.90,7.78,649.63,2.33,624.78,7.38,651.52,9.42
00:00:15.8376384,Alto,SmallSedanGreen2(Clone)3,1.9522,622.73,7.77,649.59,2.24,624.03,7.37,651.46,9.47
00:00:15.8675547,Alto,SmallSedanGreen2(Clone)3,1.8531,622.68,7.77,649.58,2.24,623.84,7.37,651.44,9.48
00:00:15.9023604,Alto,SmallSedanGreen2(Clone)3,1.7801,622.60,7.77,649.57,2.19,623.46,7.36,651.41,9.51
00:00:15.9353447,Alto,SmallSedanGreen2(Clone)3,1.7125,622.48,7.83,649.54,2.14,623.08,7.36,651.38,9.54
00:00:15.9681708,Alto,SmallSedanGreen2(Clone)3,1.6636,622.26,7.83,649.50,2.10,622.89,7.36,651.37,9.55
00:00:16.0012818,Alto,SmallSedanGreen2(Clone)3,1.6320,622.04,7.77,649.46,2.05,622.51,7.35,651.33,9.57
00:00:16.0352698,Alto,SmallSedanGreen2(Clone)3,1.5980,621.81,7.77,649.41,2.00,622.12,7.35,651.30,9.60
00:00:16.0664304,Alto,SmallSedanGreen2(Clone)3,1.5563,621.61,7.77,649.37,2.00,621.93,7.35,651.28,9.61
00:00:16.1010392,Alto,SmallSedanGreen2(Clone)3,1.5287,621.39,7.76,649.33,1.95,621.55,7.34,651.25,9.64
00:00:16.1351404,Alto,SmallSedanGreen2(Clone)3,1.5039,621.18,7.76,649.28,1.91,621.16,7.34,651.21,9.67
00:00:16.1677980,Alto,SmallSedanGreen2(Clone)3,1.4755,620.98,7.76,649.24,1.86,620.97,7.34,651.20,9.68
00:00:16.2017363,Alto,SmallSedanGreen2(Clone)3,1.4653,620.78,7.76,649.20,1.86,620.58,7.34,651.16,9.70
00:00:16.2709536,Alto,SmallSedanGreen2(Clone)3,1.4644,620.38,7.76,649.12,1.76,620.00,7.33,651.11,9.74
00:00:16.3366124,Alto,SmallSedanGreen2(Clone)3,1.5090,620.00,7.75,649.05,1.67,619.23,7.33,651.03,9.79
00:00:16.3662978,Alto,SmallSedanGreen2(Clone)3,1.5488,619.83,7.75,649.01,1.67,619.03,7.33,651.02,9.80
00:00:16.4011784,Alto,SmallSedanGreen2(Clone)3,1.6008,619.64,7.75,648.98,1.62,618.64,7.32,650.98,9.83
00:00:16.4364911,Alto,SmallSedanGreen2(Clone)3,1.6689,619.45,7.75,648.94,1.57,618.25,7.32,650.94,9.85
00:00:16.5043004,Alto,SmallSedanGreen2(Clone)3,1.8329,619.11,7.75,648.87,1.53,617.66,7.32,650.88,9.88
00:00:16.5368536,Alto,SmallSedanGreen2(Clone)3,1.9253,618.93,7.75,648.83,1.48,617.26,7.32,650.84,9.91
00:00:16.6035355,Alto,SmallSedanGreen2(Clone)3,2.1328,618.61,7.74,648.77,1.43,616.67,7.31,650.78,9.94
00:00:18.1691240,Bajo,SmallSedanGreen1(Clone)2,4.5042,598.68,7.59,643.64,8.16,603.71,7.26,644.74,8.42
00:00:18.5416818,Colision,SmallSedanGreen1(Clone)2,0.5000,602.17,7.59,641.41,7.05,603.17,7.26,641.87,7.24
00:00:18.6420940,Colision,SmallSedanGreen1(Clone)2,0.0602,602.72,7.59,641.32,4.88,603.27,7.27,641.16,7.16
00:00:18.7417524,Colision,SmallSedanGreen1(Clone)2,0.0088,602.90,7.77,640.92,3.39,603.41,7.27,640.45,7.18
00:00:18.8066504,Colision,SmallSedanGreen1(Clone)2,0.1390,602.89,7.77,640.53,2.71,603.49,7.27,640.04,6.95
00:00:18.8712086,Colision,SmallSedanGreen1(Clone)2,0.2605,602.85,7.77,640.17,2.18,603.55,7.27,639.63,6.90
00:00:18.9028596,Colision,SmallSedanGreen1(Clone)2,0.2986,602.84,7.68,639.99,1.89,603.56,7.27,639.36,6.87
00:00:19.1023352,Alto,SmallSedanGreen1(Clone)2,1.2646,602.97,7.59,639.54,1.44,603.47,7.26,638.01,6.62
00:00:19.1359640,Alto,SmallSedanGreen1(Clone)2,1.4687,603.04,7.59,639.53,1.52,603.41,7.26,637.75,6.59
00:00:19.1686732,Alto,SmallSedanGreen1(Clone)2,1.6774,603.08,7.59,639.53,1.56,603.38,7.26,637.63,6.57
00:00:19.2038051,Alto,SmallSedanGreen1(Clone)2,1.9379,603.02,7.59,639.59,1.64,603.31,7.27,637.37,6.56
00:00:19.3053916,Bajo,SmallSedanGreen1(Clone)2,2.6701,602.82,7.78,639.75,1.84,603.11,7.27,636.76,6.56
00:00:19.3714375,Bajo,SmallSedanGreen1(Clone)2,3.1075,602.76,7.78,639.82,1.95,602.97,7.27,636.39,6.57
00:00:19.4022215,Bajo,SmallSedanGreen1(Clone)2,3.3045,602.75,7.78,639.85,2.03,602.87,7.27,636.15,6.59
00:00:19.4358176,Bajo,SmallSedanGreen1(Clone)2,3.5084,602.76,7.78,639.87,2.11,602.76,7.27,635.91,6.60
00:00:19.4696019,Bajo,SmallSedanGreen1(Clone)2,3.7217,602.74,7.78,639.89,2.15,602.71,7.27,635.80,6.61
00:00:19.5026586,Bajo,SmallSedanGreen1(Clone)2,3.9152,602.76,7.78,639.91,2.23,602.59,7.27,635.56,6.63
00:00:19.5364214,Bajo,SmallSedanGreen1(Clone)2,4.1161,602.79,7.59,639.92,2.31,602.48,7.26,635.32,6.65
00:00:19.5700619,Bajo,SmallSedanGreen1(Clone)2,4.3290,602.79,7.59,639.93,2.35,602.42,7.26,635.21,6.66
00:00:23.1056422,Alto,SmallSedanGreen1(Clone)12,1.6372,592.04,7.69,609.63,0.00,594.11,7.26,609.74,8.57
00:00:23.1718855,Alto,SmallSedanGreen1(Clone)12,1.5597,591.99,7.69,609.34,0.00,594.05,7.26,609.22,8.60
00:00:23.2013004,Alto,SmallSedanGreen1(Clone)12,1.5448,591.97,7.69,609.20,0.00,594.02,7.26,608.88,8.61
