Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:16.7600388,Bajo,SmallSedanYellow2(Clone)9,3.6014,674.46,7.83,640.48,8.29,675.47,7.52,644.56,1.69
00:00:16.8870005,Bajo,SmallSedanYellow2(Clone)9,3.2030,673.98,7.86,640.84,8.59,675.56,7.52,644.37,1.77
00:00:16.9665775,Bajo,SmallSedanYellow2(Clone)9,3.0346,673.64,7.85,641.07,8.79,675.62,7.52,644.24,1.82
00:00:17.0763624,Bajo,SmallSedanYellow2(Clone)9,2.9610,673.12,8.04,641.44,9.09,675.71,7.52,644.04,1.90
00:00:17.1686092,Bajo,SmallSedanBlue2(Clone)1,4.4294,680.51,8.04,643.01,6.52,675.77,7.52,643.90,1.95
00:00:17.1687741,Bajo,SmallSedanYellow2(Clone)9,3.0161,672.79,8.04,641.67,9.29,675.77,7.52,643.90,1.95
00:00:17.2791656,Bajo,SmallSedanBlue2(Clone)1,4.1684,680.49,8.05,643.49,6.73,675.87,7.52,643.68,2.02
00:00:17.2793170,Bajo,SmallSedanYellow2(Clone)9,3.3075,672.27,7.85,642.03,9.59,675.87,7.52,643.68,2.02
00:00:17.3714013,Bajo,SmallSedanBlue2(Clone)1,4.0044,680.46,7.89,643.92,6.90,675.95,7.52,643.49,2.07
00:00:17.3716031,Bajo,SmallSedanYellow2(Clone)9,3.6538,671.86,7.85,642.31,9.84,675.95,7.52,643.49,2.07
00:00:17.4764057,Bajo,SmallSedanBlue2(Clone)1,3.9585,680.45,7.87,644.36,6.90,676.03,7.52,643.29,2.11
00:00:17.4765702,Bajo,SmallSedanYellow2(Clone)9,4.0400,671.50,7.85,642.56,10.09,676.03,7.52,643.29,2.11
00:00:17.5978203,Bajo,SmallSedanBlue2(Clone)1,4.0604,680.45,8.03,644.91,6.91,676.12,7.52,643.06,2.14
00:00:17.7172719,Bajo,SmallSedanBlue2(Clone)1,4.2404,680.44,8.04,645.35,6.91,676.20,7.52,642.86,2.14
00:00:17.8228441,Bajo,SmallSedanBlue2(Clone)1,4.5839,680.45,8.04,645.88,6.96,676.29,7.52,642.62,2.14
00:00:17.9340527,Bajo,SmallSedanBlue2(Clone)1,4.9903,680.46,7.86,645.37,6.79,676.38,7.52,642.38,2.14
00:00:20.6184302,Bajo,SmallSedanWhite(Clone)7,3.2390,680.59,7.91,633.29,2.62,678.12,7.52,636.37,2.66
00:00:20.7293424,Bajo,SmallSedanWhite(Clone)7,2.7139,680.39,7.91,633.45,2.31,678.19,7.52,636.11,2.66
00:00:20.8175556,Alto,SmallSedanWhite(Clone)7,2.2813,680.22,7.92,633.58,2.03,678.25,7.52,635.86,2.66
00:00:20.9287208,Alto,SmallSedanWhite(Clone)7,1.8232,680.04,7.92,633.68,1.79,678.32,7.52,635.60,2.65
00:00:21.0355157,Alto,SmallSedanWhite(Clone)7,1.3763,679.84,7.92,633.78,1.54,678.40,7.52,635.29,2.65
00:00:21.1129902,Alto,SmallSedanWhite(Clone)7,1.0616,679.70,7.92,633.82,1.43,678.45,7.52,635.08,2.65
00:00:21.2260340,Colision,SmallSedanWhite(Clone)7,0.6579,679.51,7.93,633.84,1.31,678.51,7.52,634.83,2.65
00:00:21.3228491,Colision,SmallSedanWhite(Clone)7,0.2953,679.31,7.93,633.85,1.24,678.57,7.52,634.57,2.66
00:00:22.3785151,Colision,SmallSedanWhite(Clone)7,0.0371,679.68,7.91,632.82,0.57,679.14,7.50,632.33,1.91
00:00:22.5199830,Colision,SmallSedanWhite(Clone)7,0.1454,679.83,7.91,632.63,0.65,679.20,7.49,632.07,1.93
00:00:22.6351247,Colision,SmallSedanWhite(Clone)7,0.2350,679.93,7.91,632.50,0.71,679.26,7.49,631.85,1.94
00:00:22.7371650,Colision,SmallSedanWhite(Clone)7,0.3133,680.00,7.91,632.41,0.77,679.32,7.48,631.67,1.95
00:00:22.8425520,Colision,SmallSedanWhite(Clone)7,0.4111,680.08,7.91,632.31,0.82,679.37,7.48,631.48,1.98
00:00:22.9142109,Colision,SmallSedanWhite(Clone)7,0.5040,680.13,7.90,632.24,0.88,679.43,7.48,631.28,2.03
00:00:23.0069023,Colision,SmallSedanWhite(Clone)7,0.6134,680.19,7.90,632.17,0.92,679.48,7.48,631.12,2.08
00:00:23.0955822,Colision,SmallSedanWhite(Clone)7,0.7275,680.23,7.90,632.12,0.98,679.54,7.47,630.92,2.15
00:00:23.1743278,Colision,SmallSedanWhite(Clone)7,0.8482,680.27,7.90,632.07,1.02,679.59,7.47,630.75,2.21
00:00:23.2604955,Colision,SmallSedanWhite(Clone)7,0.9869,680.31,7.90,632.02,1.07,679.64,7.47,630.58,2.27
00:00:23.3424595,Alto,SmallSedanWhite(Clone)7,1.1198,680.33,8.02,631.99,1.11,679.69,7.47,630.40,2.33
00:00:23.4206377,Alto,SmallSedanWhite(Clone)7,1.2725,680.36,8.01,631.96,1.17,679.74,7.46,630.22,2.39
00:00:23.5117685,Alto,SmallSedanWhite(Clone)7,1.4602,680.38,8.01,631.94,1.23,679.81,7.46,629.99,2.46
00:00:23.6290403,Alto,SmallSedanWhite(Clone)7,1.7165,680.39,8.01,631.93,1.28,679.88,7.46,629.75,2.54
00:00:23.7334812,Alto,SmallSedanWhite(Clone)7,1.9975,680.38,7.96,631.94,1.35,679.96,7.45,629.45,2.62
00:00:23.8031716,Alto,SmallSedanWhite(Clone)7,2.1924,680.38,7.92,631.94,1.39,680.00,7.45,629.29,2.67
00:00:23.8849485,Alto,SmallSedanWhite(Clone)7,2.4365,680.35,7.96,631.97,1.44,680.06,7.44,629.08,2.73
00:00:24.0096649,Bajo,SmallSedanWhite(Clone)7,2.9013,680.25,7.97,632.11,1.51,680.15,7.44,628.76,2.81
00:00:24.1270081,Bajo,SmallSedanWhite(Clone)7,3.3882,680.13,7.94,632.25,1.57,680.25,7.44,628.43,2.90
00:00:24.2221891,Bajo,SmallSedanWhite(Clone)7,3.8016,680.03,7.92,632.37,1.63,680.33,7.43,628.15,2.98
00:00:24.3271665,Bajo,SmallSedanWhite(Clone)7,4.2557,679.93,7.91,632.50,1.68,680.41,7.43,627.86,3.05
00:00:53.8392016,Colision,SmallSedanYellow2(Clone)9,0.3551,677.64,7.25,555.44,2.00,677.09,6.73,556.28,0.75
00:00:53.9268173,Colision,SmallSedanYellow2(Clone)9,0.3641,677.67,7.15,555.49,2.20,677.10,6.73,556.34,0.77
00:00:54.0084623,Colision,SmallSedanYellow2(Clone)9,0.3746,677.71,7.16,555.55,2.40,677.12,6.73,556.40,0.79
00:00:54.0952867,Colision,SmallSedanYellow2(Clone)9,0.3847,677.75,7.16,555.62,2.65,677.13,6.72,556.49,0.81
00:00:54.1849629,Colision,SmallSedanYellow2(Clone)9,0.4109,677.81,7.25,555.69,2.85,677.14,6.72,556.56,0.84
00:00:54.2611001,Colision,SmallSedanYellow2(Clone)9,0.4277,677.86,7.24,555.76,3.05,677.15,6.72,556.63,0.86
00:00:54.3368023,Colision,SmallSedanYellow2(Clone)9,0.4540,677.91,7.25,555.83,3.25,677.16,6.72,556.70,0.89
00:00:54.4188580,Colision,SmallSedanYellow2(Clone)9,0.4864,677.98,7.25,555.91,3.45,677.17,6.72,556.77,0.92
00:00:54.5068744,Colision,SmallSedanYellow2(Clone)9,0.5268,678.06,7.15,555.99,3.65,677.18,6.72,556.84,0.94
00:00:54.5964795,Colision,SmallSedanYellow2(Clone)9,0.5797,678.16,7.15,556.10,3.90,677.19,6.72,556.93,0.97
00:00:54.6678566,Colision,SmallSedanYellow2(Clone)9,0.6316,678.24,7.15,556.18,4.05,677.19,6.72,556.99,0.99
00:00:54.7542016,Colision,SmallSedanYellow2(Clone)9,0.7115,678.36,7.26,556.31,4.30,677.21,6.72,557.09,1.02
00:00:54.8335745,Colision,SmallSedanYellow2(Clone)9,0.7982,678.48,7.26,556.43,4.50,677.22,6.72,557.17,1.04
00:00:54.9172620,Colision,SmallSedanYellow2(Clone)9,0.8990,678.61,7.26,556.56,4.70,677.23,6.72,557.26,1.07
00:00:55.0077967,Alto,SmallSedanYellow2(Clone)9,1.0176,678.75,7.15,556.71,4.90,677.24,6.72,557.34,1.09
00:00:55.1080856,Alto,SmallSedanYellow2(Clone)9,1.1809,678.94,7.14,556.91,5.15,677.26,6.72,557.45,1.10
00:00:55.1968049,Alto,SmallSedanYellow2(Clone)9,1.3268,679.10,7.14,557.07,5.35,677.27,6.72,557.54,1.11
00:00:55.2564109,Alto,SmallSedanYellow2(Clone)9,1.4855,679.27,7.26,557.24,5.51,677.28,6.72,557.63,1.11
00:00:55.3437773,Alto,SmallSedanYellow2(Clone)9,1.6621,679.45,7.26,557.43,5.70,677.30,6.72,557.72,1.11
00:00:55.4868201,Alto,SmallSedanYellow2(Clone)9,2.0742,679.85,7.21,557.85,6.04,677.31,6.72,557.87,1.11
00:00:55.5712906,Bajo,SmallSedanYellow2(Clone)9,2.5264,680.27,7.18,558.29,6.28,677.32,6.72,557.98,1.10
00:00:55.6646457,Bajo,SmallSedanYellow2(Clone)9,2.9041,680.61,7.13,558.66,6.47,677.32,6.72,558.07,1.10
00:00:55.7313839,Bajo,SmallSedanYellow2(Clone)9,3.3037,680.96,7.05,559.05,6.67,677.33,6.72,558.15,1.10
00:00:55.7848583,Bajo,SmallSedanYellow2(Clone)9,3.4998,681.14,7.23,559.25,6.77,677.34,6.72,558.20,1.10
00:00:55.8604657,Bajo,SmallSedanYellow2(Clone)9,3.9149,681.50,7.23,559.66,6.97,677.35,6.72,558.29,1.10
00:00:55.9235427,Bajo,SmallSedanYellow2(Clone)9,4.2363,681.78,7.23,559.97,7.12,677.36,6.72,558.35,1.10
