Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:21.1731463,Bajo,SmallSedanGreen2(Clone)3,2.6831,682.23,7.85,654.55,5.26,680.12,7.52,657.22,4.78
00:00:21.2731182,Bajo,SmallSedanGreen2(Clone)3,2.5770,682.30,7.85,654.62,5.27,679.86,7.52,656.82,4.81
00:00:21.3377429,Bajo,SmallSedanGreen2(Clone)3,2.5680,682.34,7.85,654.67,5.22,679.70,7.52,656.57,4.82
00:00:21.3695783,Bajo,SmallSedanGreen2(Clone)3,2.5804,682.38,7.84,654.73,5.27,679.59,7.52,656.41,4.83
00:00:21.4034798,Bajo,SmallSedanGreen2(Clone)3,2.6125,682.41,7.94,654.79,5.21,679.48,7.52,656.25,4.83
00:00:21.4356114,Bajo,SmallSedanGreen2(Clone)3,2.6551,682.42,7.94,654.80,5.23,679.43,7.52,656.17,4.83
00:00:21.4691933,Bajo,SmallSedanGreen2(Clone)3,2.7178,682.45,8.04,654.87,5.27,679.32,7.52,656.01,4.83
00:00:21.5026947,Bajo,SmallSedanGreen2(Clone)3,2.7997,682.49,8.04,654.94,5.22,679.22,7.52,655.85,4.83
00:00:21.5715974,Bajo,SmallSedanGreen2(Clone)3,2.9874,682.53,8.04,655.02,5.28,679.06,7.52,655.60,4.82
00:00:21.6379541,Bajo,SmallSedanGreen2(Clone)3,3.2133,682.57,8.04,655.11,5.25,678.90,7.52,655.36,4.82
00:00:21.6697837,Bajo,SmallSedanGreen2(Clone)3,3.3579,682.60,8.04,655.18,5.30,678.80,7.52,655.20,4.82
00:00:21.7025418,Bajo,SmallSedanGreen2(Clone)3,3.5093,682.63,8.04,655.26,5.25,678.70,7.52,655.03,4.82
00:00:21.7364789,Bajo,SmallSedanGreen2(Clone)3,3.6336,682.64,8.04,655.27,5.27,678.65,7.52,654.95,4.82
00:00:21.7707148,Bajo,SmallSedanGreen2(Clone)3,3.7974,682.67,8.04,655.34,5.22,678.55,7.52,654.79,4.82
00:00:21.8041391,Bajo,SmallSedanGreen2(Clone)3,3.9685,682.69,8.04,655.41,5.26,678.45,7.52,654.62,4.82
00:00:21.8360124,Bajo,SmallSedanGreen2(Clone)3,4.0978,682.70,8.04,655.42,5.28,678.40,7.52,654.54,4.82
00:00:21.9067539,Bajo,SmallSedanGreen2(Clone)3,4.4563,682.75,8.04,655.55,5.27,678.20,7.52,654.21,4.82
