Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:19.5518930,Bajo,SmallSedanRed(Clone)6,2.9914,678.37,8.04,646.65,6.91,675.03,7.52,647.10,0.00
00:00:19.5639345,Bajo,SmallSedanRed(Clone)6,2.9914,678.37,8.04,646.65,6.91,675.03,7.52,647.10,0.00
00:00:19.5807857,Bajo,SmallSedanRed(Clone)6,2.9603,678.36,8.04,646.73,6.96,675.03,7.52,647.10,0.00
00:00:19.5899042,Bajo,SmallSedanRed(Clone)6,2.9308,678.36,8.04,646.80,6.77,675.03,7.52,647.10,0.00
00:00:19.5991671,Bajo,SmallSedanRed(Clone)6,2.9308,678.36,8.04,646.80,6.77,675.03,7.52,647.10,0.00
00:00:19.6071473,Bajo,SmallSedanRed(Clone)6,2.9017,678.35,7.86,646.88,6.82,675.03,7.52,647.10,0.00
00:00:19.6153888,Bajo,SmallSedanRed(Clone)6,2.9017,678.35,7.86,646.88,6.82,675.03,7.52,647.10,0.00
00:00:19.6226691,Bajo,SmallSedanRed(Clone)6,2.9017,678.35,7.86,646.88,6.82,675.03,7.52,647.10,0.00
00:00:19.6320724,Bajo,SmallSedanRed(Clone)6,2.8730,678.34,7.86,646.97,6.87,675.03,7.52,647.10,0.00
00:00:19.6397351,Bajo,SmallSedanRed(Clone)6,2.8730,678.34,7.86,646.97,6.87,675.03,7.52,647.10,0.00
00:00:19.6481687,Bajo,SmallSedanRed(Clone)6,2.8455,678.33,7.86,647.05,6.92,675.03,7.52,647.10,0.00
00:00:19.6555492,Bajo,SmallSedanRed(Clone)6,2.8455,678.33,7.86,647.05,6.92,675.03,7.52,647.10,0.00
00:00:19.6636688,Bajo,SmallSedanRed(Clone)6,2.8455,678.33,7.86,647.05,6.92,675.03,7.52,647.10,0.00
00:00:19.6727953,Bajo,SmallSedanRed(Clone)6,2.8194,678.32,7.86,647.13,6.97,675.03,7.52,647.10,0.00
