Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:13.4667486,Alto,OriginalSmallSedan(Clone)0,1.0761,685.05,9.86,698.18,13.77,683.48,9.30,698.71,0.00
00:00:13.5321839,Colision,OriginalSmallSedan(Clone)0,0.9552,684.90,9.81,697.93,13.87,683.48,9.30,698.71,0.00
00:00:13.6688582,Alto,OriginalSmallSedan(Clone)0,1.0317,684.53,9.70,697.33,13.88,683.48,9.30,698.71,0.00
00:00:13.7323728,Alto,OriginalSmallSedan(Clone)0,1.2027,684.37,9.67,697.07,13.88,683.48,9.30,698.71,0.00
00:00:13.8330236,Alto,OriginalSmallSedan(Clone)0,1.5830,684.10,9.61,696.63,13.89,683.48,9.30,698.71,0.00
00:00:13.9320904,Bajo,OriginalSmallSedan(Clone)0,2.6649,683.44,9.34,695.56,13.89,683.48,9.30,698.71,0.00
00:00:14.0280828,Bajo,OriginalSmallSedan(Clone)0,3.8910,682.72,9.18,694.39,13.87,683.48,9.30,698.71,0.00
00:00:27.9319863,Bajo,SmallSedanBlue2(Clone)1,4.2723,679.88,7.99,672.15,1.00,683.19,7.67,675.99,7.37
00:00:28.0314832,Bajo,SmallSedanBlue2(Clone)1,3.8939,680.02,7.99,671.94,1.10,683.31,7.65,675.26,7.44
00:00:28.0646836,Bajo,SmallSedanBlue2(Clone)1,3.7557,680.08,7.99,671.84,1.13,683.36,7.65,674.97,7.47
00:00:28.0996516,Bajo,SmallSedanBlue2(Clone)1,3.6330,680.14,7.99,671.75,1.17,683.40,7.65,674.67,7.49
00:00:28.1631351,Bajo,SmallSedanBlue2(Clone)1,3.4913,680.20,7.99,671.63,1.23,683.48,7.64,674.23,7.53
00:00:28.2279808,Bajo,SmallSedanBlue2(Clone)1,3.4812,680.16,7.99,671.57,1.28,683.55,7.64,673.78,7.58
00:00:28.2656628,Bajo,SmallSedanBlue2(Clone)1,3.4841,680.13,7.99,671.53,1.32,683.60,7.63,673.48,7.60
00:00:28.3662904,Bajo,SmallSedanBlue2(Clone)1,3.5156,680.06,7.99,671.41,1.42,683.73,7.62,672.72,7.67
00:00:28.4628387,Bajo,SmallSedanBlue2(Clone)1,3.6394,679.93,8.08,671.19,1.51,683.85,7.61,671.96,7.74
00:00:28.5641444,Bajo,SmallSedanBlue2(Clone)1,3.9479,679.65,8.07,670.73,1.61,683.98,7.60,671.19,7.81
00:00:28.6334779,Bajo,SmallSedanBlue2(Clone)1,4.1678,679.47,8.06,670.44,1.68,684.09,7.59,670.57,7.87
00:00:28.7315244,Bajo,SmallSedanBlue2(Clone)1,4.4559,679.26,8.06,670.10,1.76,684.19,7.58,669.95,7.92
00:00:28.7649724,Bajo,SmallSedanBlue2(Clone)1,4.5773,679.18,8.06,669.97,1.79,684.24,7.58,669.64,7.95
00:00:28.7988192,Bajo,SmallSedanBlue2(Clone)1,4.6941,679.11,8.06,669.85,1.83,684.29,7.57,669.32,7.98
