Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:12.8306426,Bajo,SmallSedanPurple(Clone)5,4.2995,685.97,7.34,607.68,0.00,686.32,7.04,612.55,7.09
00:00:12.9981920,Bajo,SmallSedanPurple(Clone)5,3.3479,685.97,7.34,607.68,0.00,687.00,7.00,611.45,7.25
00:00:13.0598523,Bajo,SmallSedanPurple(Clone)5,2.9691,685.97,7.34,607.68,0.00,687.22,6.99,611.08,7.30
00:00:13.1622091,Bajo,SmallSedanPurple(Clone)5,2.7796,686.04,7.48,607.33,0.00,687.60,6.97,610.45,7.38
00:00:13.2263925,Bajo,SmallSedanPurple(Clone)5,2.7804,686.09,7.47,607.00,0.00,687.83,6.95,610.07,7.43
00:00:13.2939764,Bajo,SmallSedanPurple(Clone)5,2.7702,686.15,7.47,606.70,0.00,688.13,6.94,609.55,7.49
00:00:13.3945562,Bajo,SmallSedanPurple(Clone)5,2.7552,686.22,7.46,606.31,0.00,688.51,6.92,608.90,7.57
00:00:13.4590547,Bajo,SmallSedanPurple(Clone)5,2.7579,686.26,7.46,606.07,0.00,688.74,6.91,608.51,7.62
00:00:13.5255320,Bajo,SmallSedanPurple(Clone)5,2.7787,686.30,7.45,605.85,0.00,688.97,6.90,608.11,7.67
00:00:13.6629893,Bajo,SmallSedanPurple(Clone)5,2.8976,686.37,7.45,605.46,0.00,689.50,6.88,607.17,7.77
00:00:13.7953801,Bajo,SmallSedanPurple(Clone)5,3.1511,686.43,7.44,605.13,0.00,690.02,6.85,606.21,7.88
00:00:13.9272905,Bajo,SmallSedanPurple(Clone)5,3.5457,686.48,7.44,604.83,0.00,690.47,6.83,605.37,7.97
00:00:13.9926557,Bajo,SmallSedanPurple(Clone)5,3.7926,686.50,7.44,604.70,0.00,690.77,6.82,604.80,8.03
00:00:14.0574909,Bajo,SmallSedanPurple(Clone)5,4.0644,686.53,7.44,604.57,0.00,690.99,6.81,604.37,8.07
00:00:14.1615140,Bajo,SmallSedanPurple(Clone)5,4.5413,686.56,7.44,604.39,0.00,691.37,6.81,603.66,8.14
00:00:14.4940454,Bajo,SmallSedanPurple(Clone)15,4.3553,697.54,7.37,601.27,5.25,692.70,6.79,601.19,8.35
00:00:14.6262712,Bajo,SmallSedanPurple(Clone)15,3.8453,697.49,7.37,601.47,5.34,693.17,6.78,600.30,8.42
00:00:14.7249437,Bajo,SmallSedanPurple(Clone)15,3.7284,697.46,7.37,601.61,5.42,693.57,6.78,599.55,8.49
00:00:14.8608271,Bajo,SmallSedanPurple(Clone)15,3.9715,697.43,7.37,601.75,5.54,694.11,6.77,598.49,8.55
00:00:14.9584433,Bajo,SmallSedanPurple(Clone)15,4.3810,697.42,7.36,601.80,5.62,694.46,6.76,597.71,8.59
