Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:11.1230680,Bajo,SmallSedanPurple(Clone)5,3.5107,685.86,7.83,632.08,1.92,682.72,7.47,635.12,9.24
00:00:11.1393649,Bajo,SmallSedanPurple(Clone)5,3.3176,685.84,7.83,632.11,1.92,682.86,7.47,635.00,9.30
00:00:11.1567481,Bajo,SmallSedanPurple(Clone)5,3.1175,685.81,7.83,632.14,1.92,682.99,7.47,634.87,9.37
00:00:11.1724349,Bajo,SmallSedanPurple(Clone)5,2.9281,685.79,7.83,632.17,1.92,683.13,7.46,634.74,9.43
00:00:11.1889337,Bajo,SmallSedanPurple(Clone)5,2.7335,685.76,7.83,632.20,1.92,683.27,7.46,634.61,9.50
00:00:11.2051355,Bajo,SmallSedanPurple(Clone)5,2.5728,685.77,7.83,632.20,1.92,683.27,7.46,634.61,9.50
00:00:11.2228938,Alto,SmallSedanPurple(Clone)5,2.3740,685.74,7.83,632.23,1.92,683.41,7.46,634.48,9.57
00:00:11.2391090,Alto,SmallSedanPurple(Clone)5,2.1762,685.72,7.83,632.26,1.92,683.55,7.45,634.35,9.64
00:00:11.2559362,Alto,SmallSedanPurple(Clone)5,1.9752,685.70,7.84,632.29,1.92,683.70,7.45,634.22,9.70
00:00:11.2735840,Alto,SmallSedanPurple(Clone)5,1.7651,685.67,7.84,632.32,1.92,683.84,7.45,634.09,9.77
00:00:11.2894853,Alto,SmallSedanPurple(Clone)5,1.5699,685.65,7.84,632.35,1.92,683.99,7.44,633.96,9.84
00:00:11.3065730,Alto,SmallSedanPurple(Clone)5,1.3628,685.63,7.84,632.38,1.92,684.14,7.44,633.83,9.91
00:00:11.3235141,Alto,SmallSedanPurple(Clone)5,1.1891,685.63,7.84,632.39,1.92,684.14,7.44,633.83,9.91
00:00:11.3399507,Colision,SmallSedanPurple(Clone)5,0.9955,685.61,7.84,632.42,1.92,684.29,7.44,633.70,9.98
00:00:11.3564763,Colision,SmallSedanPurple(Clone)5,0.7915,685.59,7.84,632.45,1.92,684.44,7.43,633.57,10.05
