Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:07.4094476,Bajo,SmallSedanWhite(Clone)17,3.8204,679.41,7.88,642.85,4.15,675.11,7.52,642.79,2.26
00:00:07.5446861,Bajo,SmallSedanWhite(Clone)17,3.7326,679.36,8.04,643.12,3.85,675.13,7.52,642.47,2.34
00:00:07.6755590,Bajo,SmallSedanWhite(Clone)17,3.7204,679.31,8.04,643.33,3.61,675.14,7.52,642.18,2.42
00:00:07.7414744,Bajo,SmallSedanWhite(Clone)17,3.7428,679.27,8.04,643.47,3.46,675.16,7.52,641.99,2.46
00:00:07.8107727,Bajo,SmallSedanWhite(Clone)17,3.7880,679.25,8.04,643.57,3.35,675.16,7.52,641.84,2.50
00:00:07.8737607,Bajo,SmallSedanWhite(Clone)17,3.8472,679.22,7.86,643.66,3.24,675.17,7.52,641.69,2.53
00:00:07.9740972,Bajo,SmallSedanWhite(Clone)17,3.9726,679.18,7.86,643.81,3.06,675.19,7.52,641.43,2.59
00:00:08.0758132,Bajo,SmallSedanWhite(Clone)17,4.1413,679.14,7.85,643.95,2.88,675.21,7.52,641.17,2.65
00:00:08.1408781,Bajo,SmallSedanWhite(Clone)17,4.2822,679.11,8.04,644.06,2.76,675.22,7.52,640.96,2.70
00:00:08.2069926,Bajo,SmallSedanWhite(Clone)17,4.4224,679.10,8.04,644.14,2.74,675.23,7.52,640.79,2.74
00:00:08.2741447,Bajo,SmallSedanWhite(Clone)17,4.5758,679.08,8.04,644.22,2.77,675.24,7.52,640.63,2.77
00:00:08.3759648,Bajo,SmallSedanWhite(Clone)17,4.8396,679.05,7.85,644.35,2.77,675.26,7.52,640.35,2.83
