Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:04.3257695,Alto,SmallSedanBlue2(Clone)11,1.0926,685.08,9.86,698.22,9.15,683.49,9.30,698.70,0.02
00:00:04.3964106,Colision,SmallSedanBlue2(Clone)11,0.9958,684.97,9.83,698.05,9.16,683.49,9.30,698.70,0.02
00:00:04.4261626,Colision,SmallSedanBlue2(Clone)11,0.9499,684.90,9.81,697.94,9.16,683.49,9.30,698.70,0.02
00:00:04.4895117,Colision,SmallSedanBlue2(Clone)11,0.9139,684.80,9.79,697.77,9.16,683.49,9.30,698.70,0.02
00:00:04.5550186,Colision,SmallSedanBlue2(Clone)11,0.9217,684.69,9.76,697.59,9.16,683.49,9.30,698.70,0.02
00:00:04.6272655,Colision,SmallSedanBlue2(Clone)11,0.9987,684.55,9.72,697.37,9.17,683.49,9.30,698.70,0.01
00:00:04.6944958,Alto,SmallSedanBlue2(Clone)11,1.0964,684.45,9.70,697.20,9.13,683.49,9.30,698.70,0.01
00:00:04.7592758,Alto,SmallSedanBlue2(Clone)11,1.2657,684.31,9.74,696.97,9.11,683.49,9.30,698.70,0.00
00:00:04.7945345,Alto,SmallSedanBlue2(Clone)11,1.3128,684.27,9.72,696.91,9.13,683.49,9.30,698.70,0.00
00:00:04.8266784,Alto,SmallSedanBlue2(Clone)11,1.4120,684.20,9.68,696.80,9.17,683.49,9.30,698.70,0.00
00:00:04.8604220,Alto,SmallSedanBlue2(Clone)11,1.5156,684.13,9.64,696.69,9.13,683.49,9.30,698.70,0.01
00:00:04.8930093,Alto,SmallSedanBlue2(Clone)11,1.5695,684.10,9.62,696.63,9.15,683.49,9.30,698.70,0.01
00:00:04.9279009,Alto,SmallSedanBlue2(Clone)11,1.7899,683.96,9.50,696.41,9.11,683.49,9.30,698.70,0.01
00:00:04.9919705,Alto,SmallSedanBlue2(Clone)11,2.2582,683.68,9.45,695.94,9.17,683.49,9.30,698.70,0.01
00:00:05.0256570,Bajo,SmallSedanBlue2(Clone)11,2.5733,683.49,9.41,695.64,9.13,683.49,9.30,698.70,0.01
00:00:05.0591352,Bajo,SmallSedanBlue2(Clone)11,2.8926,683.30,9.36,695.33,9.16,683.49,9.30,698.70,0.01
00:00:05.0910174,Bajo,SmallSedanBlue2(Clone)11,3.0538,683.20,9.34,695.17,9.16,683.49,9.30,698.70,0.01
00:00:05.1619964,Bajo,SmallSedanBlue2(Clone)11,3.7043,682.82,9.24,694.55,9.16,683.49,9.30,698.70,0.01
