Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:00.0618730,Alto,SmallSedanGreen1(Clone)2,2.1602,688.14,8.42,665.05,5.68,685.66,7.63,665.30,0.14
00:00:00.4705843,Alto,SmallSedanGreen1(Clone)2,2.1198,688.16,8.41,665.09,5.70,685.66,7.64,665.30,0.22
00:00:00.4979923,Alto,SmallSedanGreen1(Clone)2,2.0627,688.18,8.39,665.12,5.74,685.66,7.64,665.30,0.28
00:00:00.5046452,Alto,SmallSedanGreen1(Clone)2,2.0627,688.18,8.39,665.12,5.74,685.66,7.64,665.30,0.28
00:00:00.5083677,Alto,SmallSedanGreen1(Clone)2,2.0627,688.18,8.39,665.12,5.74,685.66,7.64,665.30,0.28
00:00:00.5267473,Alto,SmallSedanGreen1(Clone)2,2.0976,688.21,8.37,665.17,5.81,685.66,7.65,665.30,0.32
00:00:00.5425406,Alto,SmallSedanGreen1(Clone)2,2.1329,688.24,8.34,665.22,5.91,685.66,7.66,665.30,0.34
00:00:00.5606459,Alto,SmallSedanGreen1(Clone)2,2.1689,688.27,8.31,665.27,6.02,685.66,7.66,665.30,0.34
00:00:00.5758275,Alto,SmallSedanGreen1(Clone)2,2.2056,688.30,8.27,665.31,6.16,685.66,7.67,665.30,0.34
00:00:00.5928476,Alto,SmallSedanGreen1(Clone)2,2.2432,688.33,8.23,665.36,6.32,685.66,7.68,665.30,0.32
00:00:00.6088850,Alto,SmallSedanGreen1(Clone)2,2.2432,688.33,8.23,665.36,6.32,685.66,7.68,665.30,0.32
00:00:00.6268658,Alto,SmallSedanGreen1(Clone)2,2.2817,688.36,8.18,665.41,6.50,685.66,7.68,665.30,0.30
00:00:00.6440713,Alto,SmallSedanGreen1(Clone)2,2.3213,688.39,8.13,665.46,6.69,685.66,7.69,665.30,0.28
00:00:00.6583336,Alto,SmallSedanGreen1(Clone)2,2.3663,688.42,8.10,665.51,6.46,685.66,7.69,665.30,0.25
00:00:00.6746712,Alto,SmallSedanGreen1(Clone)2,2.4148,688.45,8.10,665.56,6.48,685.66,7.70,665.30,0.22
00:00:00.6922685,Alto,SmallSedanGreen1(Clone)2,2.4641,688.49,8.10,665.62,6.50,685.66,7.70,665.30,0.19
00:00:00.7067633,Alto,SmallSedanGreen1(Clone)2,2.4641,688.49,8.10,665.62,6.50,685.66,7.70,665.30,0.19
00:00:00.7255521,Alto,SmallSedanGreen1(Clone)2,2.5141,688.52,8.11,665.67,6.52,685.66,7.71,665.30,0.16
00:00:00.7425056,Alto,SmallSedanGreen1(Clone)2,2.5856,688.57,8.23,665.76,6.54,685.66,7.71,665.30,0.13
00:00:00.7576023,Alto,SmallSedanGreen1(Clone)2,2.6752,688.64,8.23,665.87,6.57,685.66,7.71,665.30,0.10
00:00:00.7747365,Alto,SmallSedanGreen1(Clone)2,2.7662,688.71,8.23,665.98,6.59,685.66,7.71,665.30,0.08
00:00:00.7913078,Alto,SmallSedanGreen1(Clone)2,2.8586,688.78,8.23,666.09,6.61,685.66,7.71,665.30,0.06
00:00:00.8065685,Alto,SmallSedanGreen1(Clone)2,2.8586,688.78,8.23,666.09,6.61,685.66,7.71,665.30,0.06
00:00:00.8244267,Alto,SmallSedanGreen1(Clone)2,2.9523,688.85,8.23,666.21,6.63,685.66,7.71,665.30,0.04
00:00:00.8419911,Alto,SmallSedanGreen1(Clone)2,3.0470,688.92,8.23,666.32,6.66,685.66,7.71,665.30,0.02
00:00:00.8587711,Alto,SmallSedanGreen1(Clone)2,3.1432,688.99,8.23,666.43,6.68,685.66,7.71,665.30,0.01
00:00:00.8740878,Alto,SmallSedanGreen1(Clone)2,3.2405,689.06,8.24,666.55,6.70,685.66,7.71,665.30,0.00
00:00:00.8912140,Alto,SmallSedanGreen1(Clone)2,3.3391,689.13,8.24,666.66,6.72,685.66,7.71,665.30,0.01
00:00:00.9074088,Alto,SmallSedanGreen1(Clone)2,3.3391,689.13,8.24,666.66,6.72,685.66,7.71,665.30,0.01
00:00:00.9251205,Alto,SmallSedanGreen1(Clone)2,3.4389,689.20,8.24,666.78,6.74,685.66,7.71,665.30,0.01
00:00:00.9412099,Alto,SmallSedanGreen1(Clone)2,3.5397,689.27,8.24,666.89,6.77,685.66,7.71,665.30,0.02
00:00:00.9583512,Alto,SmallSedanGreen1(Clone)2,3.6419,689.34,8.24,667.01,6.79,685.66,7.71,665.30,0.02
00:00:00.9741660,Alto,SmallSedanGreen1(Clone)2,3.7450,689.42,8.24,667.12,6.81,685.66,7.71,665.30,0.02
00:00:00.9912543,Alto,SmallSedanGreen1(Clone)2,3.8494,689.49,8.24,667.24,6.83,685.66,7.71,665.30,0.02
00:00:01.0077217,Alto,SmallSedanGreen1(Clone)2,3.8494,689.49,8.24,667.24,6.83,685.66,7.71,665.30,0.02
00:00:01.0247716,Alto,SmallSedanGreen1(Clone)2,3.9548,689.56,8.24,667.36,6.86,685.66,7.71,665.30,0.02
00:00:01.0411656,Alto,SmallSedanGreen1(Clone)2,4.0615,689.63,8.25,667.47,6.88,685.66,7.71,665.30,0.02
00:00:01.0571301,Alto,SmallSedanGreen1(Clone)2,4.1690,689.70,8.25,667.59,6.90,685.66,7.71,665.30,0.02
00:00:01.0739697,Alto,SmallSedanGreen1(Clone)2,4.2776,689.78,8.25,667.71,6.92,685.66,7.71,665.30,0.02
00:00:01.0902284,Alto,SmallSedanGreen1(Clone)2,4.3873,689.85,8.25,667.83,6.95,685.66,7.71,665.30,0.02
00:00:01.1068299,Alto,SmallSedanGreen1(Clone)2,4.3873,689.85,8.25,667.83,6.95,685.66,7.71,665.30,0.02
00:00:01.1242009,Alto,SmallSedanGreen1(Clone)2,4.4980,689.92,8.25,667.95,6.97,685.66,7.71,665.30,0.02
00:00:01.1404245,Alto,SmallSedanGreen1(Clone)2,4.6097,689.99,8.25,668.06,6.99,685.66,7.71,665.30,0.01
00:00:01.1580580,Alto,SmallSedanGreen1(Clone)2,4.7224,690.07,8.26,668.18,7.01,685.66,7.71,665.30,0.01
00:00:01.1743664,Alto,SmallSedanGreen1(Clone)2,4.8362,690.14,8.26,668.30,7.04,685.66,7.71,665.30,0.01
00:00:01.1924359,Alto,SmallSedanGreen1(Clone)2,4.9509,690.22,8.26,668.42,7.06,685.66,7.71,665.30,0.01
00:00:01.2060188,Alto,SmallSedanGreen1(Clone)2,4.9509,690.22,8.26,668.42,7.06,685.66,7.71,665.30,0.01
00:00:01.2237442,Bajo,SmallSedanGreen1(Clone)2,5.0664,690.29,8.26,668.54,7.08,685.66,7.71,665.30,0.01
00:00:01.2409787,Bajo,SmallSedanGreen1(Clone)2,5.1829,690.36,8.26,668.67,7.10,685.66,7.71,665.30,0.00
00:00:01.2586879,Bajo,SmallSedanGreen1(Clone)2,5.3003,690.44,8.27,668.79,7.13,685.66,7.71,665.30,0.00
00:00:01.2746617,Bajo,SmallSedanGreen1(Clone)2,5.4187,690.51,8.27,668.91,7.15,685.66,7.71,665.30,0.00
00:00:01.2915245,Bajo,SmallSedanGreen1(Clone)2,5.5380,690.59,8.27,669.03,7.17,685.66,7.71,665.30,0.00
00:00:01.3068513,Bajo,SmallSedanGreen1(Clone)2,5.5380,690.59,8.27,669.03,7.17,685.66,7.71,665.30,0.00
00:00:01.3243700,Bajo,SmallSedanGreen1(Clone)2,5.6581,690.66,8.27,669.15,7.19,685.66,7.71,665.30,0.00
00:00:01.3430377,Bajo,SmallSedanGreen1(Clone)2,5.7792,690.74,8.28,669.28,7.22,685.66,7.71,665.30,0.00
00:00:01.3579235,Bajo,SmallSedanGreen1(Clone)2,5.9011,690.82,8.28,669.40,7.24,685.66,7.71,665.30,0.00
00:00:01.3741664,Bajo,SmallSedanGreen1(Clone)2,6.0239,690.89,8.28,669.52,7.26,685.66,7.71,665.30,0.00
00:00:01.3911062,Bajo,SmallSedanGreen1(Clone)2,6.1606,690.98,8.29,669.64,7.29,685.66,7.71,665.30,0.00
00:00:01.4070104,Bajo,SmallSedanGreen1(Clone)2,6.1606,690.98,8.29,669.64,7.29,685.66,7.71,665.30,0.00
00:00:01.4241330,Bajo,SmallSedanGreen1(Clone)2,6.3038,691.07,8.29,669.76,7.31,685.66,7.71,665.30,0.00
00:00:01.4418355,Bajo,SmallSedanGreen1(Clone)2,6.4475,691.16,8.30,669.87,7.33,685.66,7.71,665.30,0.00
00:00:01.4577750,Bajo,SmallSedanGreen1(Clone)2,6.5915,691.25,8.30,669.99,7.36,685.66,7.71,665.30,0.00
00:00:01.4743033,Bajo,SmallSedanGreen1(Clone)2,6.7360,691.34,8.31,670.11,7.38,685.66,7.71,665.30,0.00
00:00:01.4913717,Bajo,SmallSedanGreen1(Clone)2,6.8808,691.43,8.31,670.22,7.40,685.66,7.71,665.30,0.00
00:00:01.5069514,Bajo,SmallSedanGreen1(Clone)2,6.8808,691.43,8.31,670.22,7.40,685.66,7.71,665.30,0.00
00:00:01.5257255,Bajo,SmallSedanGreen1(Clone)2,7.0261,691.52,8.32,670.34,7.42,685.66,7.71,665.30,0.00
00:00:01.5439754,Bajo,SmallSedanGreen1(Clone)2,7.1718,691.61,8.32,670.46,7.45,685.66,7.71,665.30,0.00
00:00:01.5578690,Bajo,SmallSedanGreen1(Clone)2,7.3180,691.70,8.33,670.58,7.47,685.66,7.71,665.30,0.00
00:00:01.5752798,Bajo,SmallSedanGreen1(Clone)2,7.4647,691.79,8.33,670.70,7.49,685.66,7.71,665.30,0.00
00:00:01.5914602,Bajo,SmallSedanGreen1(Clone)2,7.6118,691.88,8.34,670.82,7.51,685.66,7.71,665.30,0.00
00:00:01.6077078,Bajo,SmallSedanGreen1(Clone)2,7.6118,691.88,8.34,670.82,7.51,685.66,7.71,665.30,0.00
00:00:01.6238795,Bajo,SmallSedanGreen1(Clone)2,7.7594,691.97,8.34,670.94,7.53,685.66,7.71,665.30,0.00
00:00:01.6414663,Bajo,SmallSedanGreen1(Clone)2,7.9075,692.06,8.35,671.07,7.56,685.66,7.71,665.30,0.00
00:00:01.6581424,Bajo,SmallSedanGreen1(Clone)2,8.0563,692.15,8.35,671.19,7.58,685.66,7.71,665.30,0.00
00:00:01.6759390,Bajo,SmallSedanGreen1(Clone)2,8.2055,692.24,8.36,671.31,7.60,685.66,7.71,665.30,0.00
00:00:01.6915351,Bajo,SmallSedanGreen1(Clone)2,8.3551,692.33,8.36,671.43,7.62,685.66,7.71,665.30,0.00
00:00:01.7068500,Bajo,SmallSedanGreen1(Clone)2,8.3551,692.33,8.36,671.43,7.62,685.66,7.71,665.30,0.00
00:00:01.7243342,Bajo,SmallSedanGreen1(Clone)2,8.5054,692.42,8.37,671.56,7.65,685.66,7.71,665.30,0.00
00:00:01.7416779,Bajo,SmallSedanGreen1(Clone)2,8.6562,692.51,8.38,671.68,7.67,685.66,7.71,665.30,0.00
00:00:01.7595893,Bajo,SmallSedanGreen1(Clone)2,8.8075,692.60,8.38,671.81,7.69,685.66,7.71,665.30,0.00
00:00:01.7745379,Bajo,SmallSedanGreen1(Clone)2,8.9593,692.69,8.39,671.93,7.71,685.66,7.71,665.30,0.00
00:00:01.7916118,Bajo,SmallSedanGreen1(Clone)2,9.1117,692.78,8.39,672.06,7.73,685.66,7.71,665.30,0.00
00:00:01.8070063,Bajo,SmallSedanGreen1(Clone)2,9.1117,692.78,8.39,672.06,7.73,685.66,7.71,665.30,0.00
00:00:01.8235580,Bajo,SmallSedanGreen1(Clone)2,9.2644,692.87,8.40,672.19,7.76,685.66,7.71,665.30,0.00
00:00:08.0213294,Bajo,SmallSedanGrey(Clone)4,9.2330,685.41,7.40,610.11,2.75,684.38,7.43,619.82,17.32
00:00:08.0386770,Bajo,SmallSedanGrey(Clone)4,8.9486,685.43,7.40,610.05,2.76,684.48,7.42,619.49,17.38
00:00:08.0542984,Bajo,SmallSedanGrey(Clone)4,8.6635,685.46,7.40,610.00,2.77,684.57,7.41,619.15,17.45
00:00:08.0713400,Bajo,SmallSedanGrey(Clone)4,8.3774,685.49,7.39,609.95,2.78,684.67,7.41,618.82,17.51
00:00:08.0875170,Bajo,SmallSedanGrey(Clone)4,8.3774,685.49,7.39,609.95,2.78,684.67,7.41,618.82,17.51
00:00:08.1044859,Bajo,SmallSedanGrey(Clone)4,8.0893,685.52,7.39,609.90,2.75,684.76,7.40,618.48,17.57
00:00:08.1211578,Bajo,SmallSedanGrey(Clone)4,7.8028,685.53,7.39,609.84,2.76,684.86,7.39,618.14,17.63
00:00:08.1379508,Bajo,SmallSedanGrey(Clone)4,7.5166,685.55,7.39,609.79,2.77,684.95,7.37,617.80,17.69
00:00:08.1545302,Bajo,SmallSedanGrey(Clone)4,7.2295,685.56,7.39,609.73,2.78,685.05,7.36,617.46,17.75
00:00:08.1714555,Bajo,SmallSedanGrey(Clone)4,6.9411,685.57,7.39,609.68,2.75,685.15,7.35,617.12,17.82
00:00:08.1872573,Bajo,SmallSedanGrey(Clone)4,6.9411,685.57,7.39,609.68,2.75,685.15,7.35,617.12,17.82
00:00:08.2045075,Bajo,SmallSedanGrey(Clone)4,6.6520,685.59,7.38,609.62,2.76,685.25,7.34,616.78,17.88
00:00:08.2215908,Bajo,SmallSedanGrey(Clone)4,6.3624,685.60,7.38,609.57,2.77,685.34,7.33,616.43,17.94
