Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:18.5584869,Bajo,SmallSedanGreen1(Clone)2,2.9443,678.44,7.86,646.44,6.93,675.03,7.52,646.43,0.00
00:00:18.6216716,Bajo,SmallSedanGreen1(Clone)2,2.8797,678.41,7.87,646.70,6.88,675.03,7.52,646.43,0.00
00:00:18.6891062,Bajo,SmallSedanGreen1(Clone)2,2.8215,678.36,7.86,647.04,6.86,675.03,7.52,646.43,0.00
00:00:18.7897262,Bajo,SmallSedanGreen1(Clone)2,2.8258,678.31,7.84,647.49,6.87,675.03,7.52,646.43,0.00
00:00:18.8901428,Bajo,SmallSedanGreen1(Clone)2,2.9179,678.27,8.04,647.95,6.86,675.03,7.52,646.43,0.00
00:00:19.0247782,Bajo,SmallSedanGreen1(Clone)2,3.1127,678.22,8.04,648.50,6.90,675.03,7.52,646.43,0.00
00:00:19.1242407,Bajo,SmallSedanGreen1(Clone)2,3.3419,678.19,7.85,648.96,6.92,675.03,7.52,646.43,0.00
00:00:19.2903169,Bajo,SmallSedanGreen1(Clone)2,3.8668,678.16,7.85,649.76,6.87,675.03,7.52,646.43,0.00
00:00:19.4221710,Bajo,SmallSedanGreen1(Clone)2,4.2535,678.15,8.04,650.28,6.92,675.03,7.52,646.43,0.00
00:01:06.9546392,Bajo,SmallSedanGreen1(Clone)12,3.9353,817.99,12.71,570.41,0.00,813.50,12.10,569.53,9.38
00:01:07.0854876,Bajo,SmallSedanGreen1(Clone)12,2.7208,817.99,12.70,570.26,0.00,814.62,12.11,569.37,9.41
00:01:07.3131895,Alto,SmallSedanGreen1(Clone)12,1.1979,818.00,12.67,569.89,0.00,816.29,12.13,569.06,9.47
00:01:07.4111380,Colision,SmallSedanGreen1(Clone)12,0.0844,818.01,12.65,569.26,0.00,817.77,12.14,568.72,9.54
00:01:07.6091738,Colision,SmallSedanGreen1(Clone)12,0.5642,819.29,12.69,569.28,0.00,819.44,12.15,568.28,9.62
00:01:07.7049071,Colision,SmallSedanGreen1(Clone)12,0.8159,819.92,12.70,569.29,0.00,820.37,12.15,568.03,9.67
