Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:14.9759341,Bajo,OriginalSmallSedan(Clone)10,4.4493,685.15,7.84,632.36,1.93,680.19,7.48,631.94,4.37
00:00:14.9903646,Bajo,OriginalSmallSedan(Clone)10,4.4137,685.15,7.84,632.36,1.97,680.23,7.47,631.87,4.39
00:00:15.0002330,Bajo,OriginalSmallSedan(Clone)10,4.3994,685.16,7.84,632.35,1.97,680.23,7.47,631.87,4.39
00:00:15.0104920,Bajo,OriginalSmallSedan(Clone)10,4.3717,685.15,7.84,632.36,2.00,680.27,7.47,631.79,4.40
00:00:15.0200320,Bajo,OriginalSmallSedan(Clone)10,4.3581,685.16,7.84,632.35,2.00,680.27,7.47,631.79,4.40
00:00:15.0302639,Bajo,OriginalSmallSedan(Clone)10,4.3310,685.15,7.84,632.36,2.03,680.31,7.47,631.71,4.41
00:00:15.0401798,Bajo,OriginalSmallSedan(Clone)10,4.3172,685.16,7.84,632.35,2.03,680.31,7.47,631.71,4.41
00:00:15.0507315,Bajo,OriginalSmallSedan(Clone)10,4.2904,685.15,7.84,632.36,2.07,680.36,7.47,631.64,4.43
00:00:15.0602679,Bajo,OriginalSmallSedan(Clone)10,4.2775,685.16,7.84,632.35,2.07,680.36,7.47,631.64,4.43
00:00:15.0702923,Bajo,OriginalSmallSedan(Clone)10,4.2518,685.15,7.84,632.36,2.10,680.40,7.47,631.56,4.44
00:00:15.0808715,Bajo,OriginalSmallSedan(Clone)10,4.2383,685.16,7.84,632.35,2.10,680.40,7.47,631.56,4.44
00:00:15.0907523,Bajo,OriginalSmallSedan(Clone)10,4.2134,685.15,7.84,632.36,2.13,680.44,7.47,631.48,4.46
00:00:15.1002607,Bajo,OriginalSmallSedan(Clone)10,4.2016,685.15,7.84,632.35,2.13,680.44,7.47,631.48,4.46
00:00:15.1105996,Bajo,OriginalSmallSedan(Clone)10,4.1771,685.14,7.84,632.36,2.17,680.49,7.47,631.40,4.47
00:00:15.1211913,Bajo,OriginalSmallSedan(Clone)10,4.1644,685.15,7.84,632.35,2.17,680.49,7.47,631.40,4.47
00:00:15.1398894,Bajo,OriginalSmallSedan(Clone)10,4.1322,685.15,7.84,632.36,2.20,680.53,7.46,631.32,4.49
00:00:15.1535556,Bajo,OriginalSmallSedan(Clone)10,4.1050,685.14,7.84,632.37,2.23,680.58,7.46,631.25,4.50
00:00:15.1648282,Bajo,OriginalSmallSedan(Clone)10,4.0928,685.15,7.84,632.35,2.23,680.58,7.46,631.25,4.50
00:00:15.1752812,Bajo,OriginalSmallSedan(Clone)10,4.0710,685.14,7.84,632.37,2.27,680.62,7.46,631.17,4.52
00:00:15.1852684,Bajo,OriginalSmallSedan(Clone)10,4.0608,685.15,7.84,632.35,2.27,680.62,7.46,631.17,4.52
00:00:15.1959347,Bajo,OriginalSmallSedan(Clone)10,4.0398,685.14,7.84,632.37,2.30,680.67,7.46,631.09,4.53
00:00:15.2100918,Bajo,OriginalSmallSedan(Clone)10,4.0158,685.13,7.84,632.38,2.33,680.71,7.46,631.01,4.54
