Tiempo_Ejecucion(H:M:S),Riesgo_De_Accidente,Nombre_Vehiculo,Distancia,Posicion,Del,Vehiculo,Velocidad_Vehiculo,Posicion,De_La,Bicicleta,Velocidad_Bicicleta
,,,,X,Y,Z,,X,Y,Z,
00:00:04.0027728,Bajo,OriginalSmallSedan(Clone)0,2.9917,678.38,8.03,646.66,6.40,675.03,7.52,647.10,0.00
00:00:04.1017169,Bajo,OriginalSmallSedan(Clone)0,2.8515,678.33,7.86,647.04,6.41,675.03,7.52,647.10,0.00
00:00:04.1667040,Bajo,OriginalSmallSedan(Clone)0,2.7635,678.29,7.87,647.35,6.40,675.03,7.52,647.10,0.00
00:00:04.2345432,Bajo,OriginalSmallSedan(Clone)0,2.7282,678.27,7.86,647.58,6.36,675.03,7.52,647.10,0.00
00:00:04.3412550,Bajo,OriginalSmallSedan(Clone)0,2.7345,678.24,7.85,647.99,6.36,675.03,7.52,647.10,0.00
00:00:04.4004113,Bajo,OriginalSmallSedan(Clone)0,2.7662,678.23,8.04,648.24,6.31,675.03,7.52,647.10,0.00
00:00:04.4308837,Bajo,OriginalSmallSedan(Clone)0,2.7981,678.22,8.04,648.41,6.36,675.03,7.52,647.10,0.00
00:00:04.4629038,Bajo,OriginalSmallSedan(Clone)0,2.8175,678.21,8.04,648.49,6.39,675.03,7.52,647.10,0.00
00:00:04.5315706,Bajo,OriginalSmallSedan(Clone)0,2.9170,678.18,8.04,648.82,6.37,675.03,7.52,647.10,0.00
00:00:04.6007534,Bajo,OriginalSmallSedan(Clone)0,3.0184,678.17,8.04,649.08,6.33,675.03,7.52,647.10,0.00
00:00:04.6656682,Bajo,OriginalSmallSedan(Clone)0,3.1893,678.16,7.85,649.42,6.30,675.03,7.52,647.10,0.00
00:00:04.7302414,Bajo,OriginalSmallSedan(Clone)0,3.3372,678.16,7.85,649.67,6.38,675.03,7.52,647.10,0.00
00:00:04.7654228,Bajo,OriginalSmallSedan(Clone)0,3.4414,678.15,7.85,649.83,6.30,675.03,7.52,647.10,0.00
00:00:04.7990359,Bajo,OriginalSmallSedan(Clone)0,3.4947,678.15,7.85,649.92,6.32,675.03,7.52,647.10,0.00
00:00:04.8339725,Bajo,OriginalSmallSedan(Clone)0,3.6045,678.15,7.84,650.08,6.37,675.03,7.52,647.10,0.00
00:00:04.8627521,Bajo,OriginalSmallSedan(Clone)0,3.6610,678.15,7.84,650.16,6.40,675.03,7.52,647.10,0.00
00:00:04.8983999,Bajo,OriginalSmallSedan(Clone)0,3.7747,678.15,7.84,650.32,6.33,675.03,7.52,647.10,0.00
00:00:04.9667478,Bajo,OriginalSmallSedan(Clone)0,4.0061,678.15,8.04,649.64,6.30,675.03,7.52,647.10,0.00
00:00:04.9989684,Bajo,OriginalSmallSedan(Clone)0,4.0525,678.14,8.04,649.70,6.33,675.03,7.52,647.10,0.00
00:00:05.0325748,Bajo,OriginalSmallSedan(Clone)0,4.1456,678.13,8.04,649.97,6.38,675.03,7.52,647.10,0.00
00:00:05.1002241,Bajo,OriginalSmallSedan(Clone)0,4.2934,678.12,8.04,650.37,6.31,675.03,7.52,647.10,0.00
00:01:13.0560661,Bajo,SmallSedanBlue2(Clone)1,4.4349,831.49,12.67,571.23,2.73,826.72,12.17,572.70,7.31
